play=470,group=4
1.42,-1.00,DT
2.03,3.33,DT
1.18,4.98,DE
5.53,12.71,CB
2.62,7.80,OLB
1.03,-4.66,DE
11.53,6.15,SS
10.22,-4.01,FS
1.96,-11.94,CB
5.45,1.47,OLB
6.04,6.35,LB
-4.89,0.32,QB
-0.62,-11.62,WR
-4.46,-2.60,RB
-1.48,-2.75,OT
-1.47,6.15,TE
-2.71,8.98,WR
-1.80,4.85,TE
-0.85,2.13,OG
-0.85,-1.33,OG
0.00,0.00,C
-1.40,3.43,OT
