play=330,group=4
1.21,5.27,DT
0.75,17.56,CB
1.47,8.78,OLB
1.01,-4.37,DE
11.69,7.81,SS
0.67,0.42,DT
13.25,-2.63,FS
2.04,-16.52,CB
3.61,-1.77,OLB
4.41,3.50,LB
0.45,3.72,DT
-4.86,0.83,QB
-3.94,-1.64,RB
-1.37,-2.03,OT
-2.05,8.60,TE
-1.93,16.87,WR
-0.83,5.18,TE
-1.56,2.68,OG
-0.79,-16.63,WR
-1.29,-0.54,OG
0.00,0.00,C
-1.44,3.64,OT
