play=245,group=4
-0.76,-1.42,OG
0.00,0.00,C
-1.74,10.29,TE
-1.48,4.53,TE
-1.40,2.74,OT
-0.83,-2.92,OT
-4.26,-0.13,QB
0.00,-14.14,WR
-0.20,20.36,WR
-0.47,1.54,OG
-3.51,-2.10,RB
1.26,2.63,DE
9.80,8.98,FS
7.52,9.21,CB
8.29,-15.56,CB
9.30,21.03,CB
1.95,-5.34,OLB
12.20,-6.29,SS
1.11,6.84,OLB
5.37,3.42,ILB
4.76,-1.47,SS
2.04,-2.40,DT
