play=235,group=2
-0.68,-1.73,OG
-1.92,-5.55,TE
0.00,0.00,C
-1.02,-4.55,TE
-1.29,2.92,OT
-0.62,-3.11,OT
-1.08,0.06,QB
-0.14,11.79,WR
-2.47,5.27,WR
-0.96,1.15,OG
-6.78,0.18,RB
1.53,-3.30,DE
3.80,10.56,FS
7.15,13.95,CB
7.82,-7.01,CB
13.26,-3.22,SS
0.90,5.28,OLB
4.94,-2.60,ILB
4.69,1.06,ILB
1.50,-6.16,OLB
0.92,-0.28,NT
1.16,3.07,DT
