play=60,group=2
1.81,0.17,DT
2.22,-2.17,DT
1.79,3.32,DE
4.90,20.21,CB
2.08,5.74,OLB
1.78,-4.09,DE
14.40,2.26,SS
10.04,14.74,FS
4.09,-9.67,CB
4.38,-4.00,OLB
5.59,1.32,LB
-0.82,0.14,QB
-0.26,19.39,WR
-5.53,0.09,RB
-0.29,-2.77,OT
0.25,-3.80,TE
-0.59,12.51,WR
-1.76,-5.82,TE
-0.15,1.66,OG
0.10,-1.17,OG
0.00,0.00,C
-0.41,2.74,OT
