play=165,group=1
0.01,-1.84,OG
0.00,0.00,C
-0.85,6.78,TE
-0.80,2.52,OT
-0.90,-3.33,OT
-3.47,-0.11,QB
0.22,-12.37,WR
0.16,16.14,WR
-0.08,1.48,OG
-1.79,-13.45,WR
-3.74,-1.99,RB
2.20,2.38,DE
11.19,7.40,FS
2.63,-12.28,CB
6.85,-14.59,CB
2.58,16.74,CB
1.56,5.06,OLB
14.24,-11.06,SS
4.91,-2.89,ILB
1.42,-5.23,OLB
2.25,3.60,SS
1.97,-1.63,DT
