play=415,group=1
-0.59,-1.62,OG
0.00,0.00,C
-1.13,5.98,TE
-0.80,2.90,OT
-0.37,-2.89,OT
-0.01,17.70,WR
-3.52,-0.02,QB
-0.16,-18.99,WR
0.38,-10.32,WR
-0.20,1.31,OG
-3.04,-1.94,RB
1.46,2.63,DE
11.40,8.53,FS
8.19,-10.83,CB
2.56,-18.74,CB
8.24,18.70,CB
1.30,5.25,OLB
16.10,-7.22,SS
1.60,-4.65,OLB
4.56,-1.67,ILB
4.95,1.07,SS
2.15,-1.79,DT
