play=580,group=1
0.81,2.95,DE
5.82,15.20,CB
2.01,-4.87,DE
16.03,-3.06,FS
1.44,6.50,DE
8.47,5.01,SS
7.51,-9.05,CB
1.25,-4.05,DE
7.77,3.29,OLB
7.14,-1.92,LB
9.14,-20.68,CB
-4.95,0.65,QB
-1.79,-10.43,WR
-1.18,-2.73,OT
0.00,5.69,TE
-1.61,15.48,WR
-0.13,1.47,OG
-0.64,-19.36,WR
-0.88,-0.32,OG
0.00,0.00,C
-5.35,-1.71,RB
-1.14,3.27,OT
