play=450,group=1
1.80,2.82,DE
1.47,17.23,CB
1.75,-4.27,DE
13.93,-2.03,FS
1.78,6.04,DE
12.20,9.58,SS
3.96,-7.42,CB
1.81,-2.37,DE
5.29,1.96,OLB
5.59,-0.85,LB
3.40,-15.44,CB
-4.70,0.75,QB
-0.18,-8.46,WR
-4.55,-1.36,RB
-0.96,-2.60,OT
-0.67,5.35,TE
-1.76,16.77,WR
-0.12,1.69,OG
-0.99,-14.19,WR
-0.67,-0.94,OG
0.00,0.00,C
-0.66,3.53,OT
