play=420,group=1
-0.35,-1.63,OG
0.00,0.00,C
-1.06,6.25,TE
0.02,2.56,OT
-0.39,-3.09,OT
0.35,18.51,WR
-3.75,-0.02,QB
0.25,-18.27,WR
-0.49,-9.33,WR
-0.22,1.29,OG
-3.48,-2.32,RB
2.33,2.08,DE
10.16,8.69,FS
9.00,-9.78,CB
8.55,-19.03,CB
9.25,19.84,CB
1.32,5.08,OLB
14.93,-5.14,SS
1.72,-4.33,OLB
2.88,0.47,ILB
4.69,2.14,SS
2.09,-1.61,DT
