play=110,group=1
-0.41,-2.02,OG
0.00,0.00,C
-1.73,6.25,TE
-1.28,2.57,OT
-1.83,-2.96,OT
-4.36,-0.21,QB
-1.00,-21.12,WR
-0.28,17.55,WR
-0.87,1.14,OG
-0.46,-11.35,WR
-4.35,-1.97,RB
19.88,-5.97,FS
9.25,-9.37,CB
8.45,-22.47,CB
8.59,18.03,CB
13.01,6.67,SS
0.50,-5.50,OLB
4.80,-3.10,ILB
0.98,1.84,DT
5.69,3.13,LB
0.72,4.74,OLB
1.58,-2.06,NT
