play=780,group=3
1.20,-1.45,DT
1.92,3.21,DE
2.18,-6.03,DE
1.48,6.45,DE
1.39,-3.76,SS
8.45,14.66,CB
10.42,-9.63,FS
1.53,-2.16,CB
1.90,4.61,OLB
2.01,1.22,LB
5.10,-18.50,CB
-4.68,0.66,QB
-0.97,-2.37,OT
-2.04,-4.15,TE
-0.98,-20.96,WR
-0.36,3.37,OG
-0.57,15.02,WR
-0.81,-1.08,OG
0.00,0.00,C
-5.16,2.60,RB
-0.66,-10.29,WR
-0.61,3.27,OT
