play=90,group=0
1.99,2.95,DE
6.88,15.18,CB
1.50,-4.95,DE
1.36,5.17,DE
9.88,6.63,SS
9.47,-4.15,FS
2.93,-8.40,CB
2.09,-2.26,DE
4.39,4.87,OLB
5.26,-1.01,LB
7.40,-11.40,CB
-4.48,0.30,QB
-2.79,2.99,RB
-0.47,-2.82,OT
-0.15,5.70,TE
-1.06,-10.33,WR
-0.78,-8.65,WR
-0.60,1.76,OG
-1.11,16.43,WR
-0.36,-1.31,OG
0.00,0.00,C
-0.66,3.33,OT
