play=900,group=0
14.06,-1.33,FS
2.10,6.82,DE
11.52,6.89,SS
2.02,-0.52,DT
1.90,16.43,CB
4.09,-8.17,CB
2.66,-5.88,DE
5.48,1.35,OLB
6.08,-0.90,LB
1.64,2.97,DT
8.89,-16.64,CB
-3.89,0.49,QB
0.08,-3.43,OT
-4.17,2.76,RB
-1.30,-9.96,WR
-0.21,1.48,OG
-0.08,4.48,TE
-0.40,-1.53,OG
0.00,0.00,C
0.34,-16.18,WR
-0.05,3.20,OT
-0.74,15.99,WR
