play=200,group=0
0.59,-2.15,DT
1.60,6.96,DE
1.19,12.89,CB
14.05,-2.80,FS
1.32,-5.26,DE
6.20,6.79,SS
3.54,-7.65,CB
5.34,0.86,OLB
5.38,-2.12,LB
1.45,2.73,DT
7.29,-17.97,CB
-4.48,0.38,QB
-1.75,-6.57,WR
-4.53,2.74,RB
-1.04,-2.87,OT
-0.88,4.83,TE
-1.14,13.15,WR
-1.09,1.98,OG
-0.33,-18.10,WR
-0.60,-1.38,OG
0.00,0.00,C
-1.06,3.32,OT
