play=745,group=0
1.09,-0.48,DT
1.45,15.28,CB
2.11,-4.91,DE
1.72,6.09,DE
13.47,8.01,SS
15.60,-5.07,FS
4.84,-8.90,CB
5.48,3.48,OLB
6.38,0.07,LB
2.54,2.89,DT
9.59,-15.57,CB
-4.30,0.42,QB
-0.93,-9.09,WR
-3.28,2.53,RB
-0.72,-2.92,OT
-1.32,4.04,TE
-1.07,14.69,WR
0.00,1.35,OG
-0.12,-15.20,WR
-0.42,-1.35,OG
0.00,0.00,C
-0.30,2.71,OT
